Sheet3
       OPTIONS
0          NaN
1          YES
2           NO
3  CONDITIONAL
BPLS-Business
                                       FIELD    REQUIRED?                                                                                                                                                                                                                                                                                                                                                                                                    GUIDE                                                                                                                FORMAT/ VALIDATION                             SAMPLE INPUT
10                             email_address          YES                                                                                                                                                                                                                                                                              Active email address of the business (main) or the person-in-charge (alternative).\n\nMust be a valid email address format.                                                                          Alphanumeric with special characters\n\n3-100 characters               michaeljr.santos@email.com
11                              cellphone_no          YES                                                                                                                                                                                                                                                                     Active cellphone or mobile number of the business (main) or the person-in-charge (alternative).\n\nMust start with '(apostrophe)639'                                                                                                    alphanumeric\n\n639 + 9 digits                              63917123456
12                              telephone_no           NO                                                                                                                                                                                                                                                                                                                    Active telephone number of the business (main) or the person-in-charge (alternative).                                                                                                   alphanumeric\n\n3-20 characters                                8123-4567
13                       incharge_first_name          YES                                                                                                                                                                                                                                                                                                                                                                      First name of the person-in-charge.                                                                                                                  3-100 characters                                  Michael
14                      incharge_middle_name           NO                                                                                                                                                                                                                                                                                                                                                                     Middle name of the person-in-charge.                                                                                                                  3-100 characters                                    Reyes
15                        incharge_last_name          YES                                                                                                                                                                                                                                                                                                                                                                       Last name of the person-in-charge.                                                                                                                  3-100 characters                                   Santos
16                   incharge_extension_name           NO                                                                                                                                                                                                                                                                                                                                   Extension name of the person-in-charge.\n\nDo not include period (.).                                                                                                                   3-100 characters                                       JR
17                              incharge_sex          YES                                                                                                                                                                                                                                                                                                                                    Sex of the person-in-charge.\n\nSelect only from the accepted values.                                                                                                   Only accepted values:\n\nM or F                                        M
18           incharge_country_of_citizenship          YES                                                                                                                                                                                                                                                   Country of Citizenship of the person-in-charge.\n\nSelect only from the accepted values. Refer to the Country of Citizenship table in General Settings                                                                                                                  3-100 characters                              Philippines
19                           incharge_street           NO                                                                                                                                                                                                                Street address or address line 1 of the person-in-charge.\n\nIt includes the house or building number, street name, and any additional identifiers like unit, floor, or apartment number.                                                                                                  alphanumeric\n\n3-100 characters                          456 Main Avenue
20                         incharge_barangay          YES                                                                                                                                                                                                                                                                                   Barangay address of the person-in-charge.\n\nYou may refer to the address table in the General Settings for reference.                                                                                                                  3-100 characters                                 Agtangao
21                     incharge_municipality          YES                                                                                                                                                                                                                                                                          City/Municipality address of the person-in-charge.\n\nYou may refer to the address table in the General Settings for reference.                                                                                                                  3-100 characters                                  Bangued
22                         incharge_province          YES                                                                                                                                                                                                                                                                                 Provincial address of the person-in-charge.\n\nYou may refer to the address table in the General Settings for reference.                                                                                                                  3-100 characters                                     Abra
23                             office_street           NO                                                                                                                                                                                                                        Street address or address line 1 of the business.\n\nIt includes the house or building number, street name, and any additional identifiers like unit, floor, or apartment number.                                                                                                  alphanumeric\n\n3-100 characters                  123 Elm Street, Unit 4B
24                      office_barangay_code          YES                                                                                                                                                                                                                                                                            Geocode of the barangay address of the business.\n\nYou may refer to the address table in the General Settings for reference.                                            \nGeocode of Barangay\n\nYou can check this in General Settings > Addresses > Barangay                               1400101001
25                            location_owned          YES                                                                                                                                                                                                                                                                                                                  It refers to whether the location is owned or rented.\n\nEnter 1 if owned, 0 if rented.                                                                                   boolean\naccepted values: 1 or 0, true or false                                        1
26                                    tdn_no  CONDITIONAL                                                                                                       Tax Declaration Numbers are unique identifiers assigned to real properties for taxation purposes, typically issued by the local assessor's office. The exact format may vary depending on the municipality or city.\n\nRequired when location is owned and property identification number is null.                                                                                                   alphanumeric\n\n3-20 characters                        TD-1234-5678-9012
27                                    pin_no  CONDITIONAL                                                                                                      It is a unique code assigned to a real property, usually reflecting the geographical and administrative divisions (e.g., barangay, city/municipality) for accurate identification. Formats may vary depending on LGU.\n\nRequired if location is owned and Tax Declaration number is not available.                                                                                                   Numbers only\n\n3-20 characters                        999-99-999-99-999
28                               lessor_name  CONDITIONAL                                                                                                                                                                                                                                                                                                             The full name of the lessor of the business location.\n\nRequired if the location is rented.                                                                                                                  3-150 characters                           Alexandra Cruz
29                            monthly_rental  CONDITIONAL                                                                                                                                                                                                                                                                                                                                     The amount of the monthly rental.\n\nRequired if location is rented.                                                                                                                     Numbers only.                                    20000
30                                      area          YES                                                                                                                                                                                                                                                                                                                                                                        Total floor area of the business.                                                                                                                      Numbers only                                      100
31                      no_of_male_employees          YES                                                                                                                                                                                                                                                                                                                                                          Total number of male employees of the business.                                                                                                      Numbers only\n\nMinimum of 0                                       10
32                    no_of_female_employees          YES                                                                                                                                                                                                                                                                                                                                                        Total number of female employees of the business.                                                                                                      Numbers only\n\nMinimum of 0                                        5
33  no_of_employees_residing_within_the_area          YES                                                                                                                                                                                                                                                                                          Total number of employees within the LGU\n\nMust not be more than the total number of employees (male + female)                                                        number only\n\nmust be less than or equal to the total of no. of employees                                        8
34                                 no_of_van          YES                                                                                                                                                                                                                                                                                                                                                                    Total number of vans of the business.                                                                                                      Numbers only\n\nMinimum of 0                                        2
35                               no_of_truck          YES                                                                                                                                                                                                                                                                                                                                                                  Total number of trucks of the business.                                                                                                      Numbers only\n\nMinimum of 0                                        0
36                          no_of_motorcycle          YES                                                                                                                                                                                                                                                                                                                                                             Total number of motorcycles of the business.                                                                                                      Numbers only\n\nMinimum of 0                                        2
37                             activity_type          YES                                                                                                                                                                                                                                                                                        This refers to the primary function of the business location.\n\nSelect from the accepted values or add your own.                        3-100 characters\n     \nMain Office;\nBranch Office;\nAdmin Office Only;\nWarehouse;\nOthers (Text field)                              Main Office
