business_bin,application_or_no,code,description,amount,discount,Interest,Surcharge,total,type,qtr_from,qtr_to,year
1400101-2024-0000029,U12345706,GF-29,"Garbage Fee",17000,0,0,0,17000,GARBAGE,1,4,2031
1400101-2024-0000030,U12345707,GF-30,"Garbage Fee",17500,0,0,0,17500,GARBAGE,2,4,2031
1400101-2024-0000031,U12345708,GF-31,"Garbage Fee",18000,0,0,0,18000,GARBAGE,3,4,2031
1400101-2024-0000032,U12345709,GF-32,"Garbage Fee",18500,0,0,0,18500,GARBAGE,4,4,2031
1400101-2024-0000033,U12345710,GF-33,"Garbage Fee",19000,0,0,0,19000,GARBAGE,1,4,2032
1400101-2024-0000034,U12345711,GF-34,"Garbage Fee",19500,0,0,0,19500,GARBAGE,2,4,2032
1400101-2024-0000035,U12345712,GF-35,"Garbage Fee",20000,0,0,0,20000,GARBAGE,3,4,2032
1400101-2024-0000036,U12345713,GF-36,"Garbage Fee",20500,0,0,0,20500,GARBAGE,4,4,2032
1400101-2024-0000037,U12345714,GF-37,"Garbage Fee",21000,0,0,0,21000,GARBAGE,1,4,2033
1400101-2024-0000038,U12345715,GF-38,"Garbage Fee",21500,0,0,0,21500,GARBAGE,2,4,2033
1400101-2024-0000039,U12345716,GF-39,"Garbage Fee",22000,0,0,0,22000,GARBAGE,3,4,2033
1400101-2024-0000040,U12345717,GF-40,"Garbage Fee",22500,0,0,0,22500,GARBAGE,4,4,2033
1400101-2024-0000041,U12345718,GF-41,"Garbage Fee",23000,0,0,0,23000,GARBAGE,1,4,2034
1400101-2024-0000042,U12345719,GF-42,"Garbage Fee",23500,0,0,0,23500,GARBAGE,2,4,2034
1400101-2024-0000043,U12345720,GF-43,"Garbage Fee",24000,0,0,0,24000,GARBAGE,3,4,2034
1400101-2024-0000044,U12345721,GF-44,"Garbage Fee",24500,0,0,0,24500,GARBAGE,4,4,2034
1400101-2024-0000045,U12345722,GF-45,"Garbage Fee",25000,0,0,0,25000,GARBAGE,1,4,2035
1400101-2024-0000046,U12345723,GF-46,"Garbage Fee",25500,0,0,0,25500,GARBAGE,2,4,2035
1400101-2024-0000047,U12345724,GF-47,"Garbage Fee",26000,0,0,0,26000,GARBAGE,3,4,2035
1400101-2024-0000048,U12345725,GF-48,"Garbage Fee",26500,0,0,0,26500,GARBAGE,4,4,2035
1400101-2024-0000049,U12345726,GF-49,"Garbage Fee",27000,0,0,0,27000,GARBAGE,1,4,2036
1400101-2024-0000050,U12345727,GF-50,"Garbage Fee",27500,0,0,0,27500,GARBAGE,2,4,2036
1400101-2024-0000051,GF-51,LF-01,"License Fee",5000,0,0,0,5000,LICENSE,1,4,2024
1400101-2024-0000052,GF-52,LF-02,"License Fee",5500,0,0,0,5500,LICENSE,2,4,2024
1400101-2024-0000053,GF-53,LF-03,"License Fee",6000,0,0,0,6000,LICENSE,3,4,2024
1400101-2024-0000054,GF-54,LF-04,"License Fee",6500,0,0,0,6500,LICENSE,4,4,2024
1400101-2024-0000055,GF-55,LF-05,"License Fee",7000,0,0,0,7000,LICENSE,1,4,2025
1400101-2024-0000056,GF-56,LF-06,"License Fee",7500,0,0,0,7500,LICENSE,2,4,2025
1400101-2024-0000057,GF-57,LF-07,"License Fee",8000,0,0,0,8000,LICENSE,3,4,2025
1400101-2024-0000058,GF-58,LF-08,"License Fee",8500,0,0,0,8500,LICENSE,4,4,2025
1400101-2024-0000059,GF-59,LF-09,"License Fee",9000,0,0,0,9000,LICENSE,1,4,2026
1400101-2024-0000060,GF-60,LF-10,"License Fee",9500,0,0,0,9500,LICENSE,2,4,2026
1400101-2024-0000061,GF-61,LF-11,"License Fee",10000,0,0,0,10000,LICENSE,3,4,2026
1400101-2024-0000062,GF-62,LF-12,"License Fee",10500,0,0,0,10500,LICENSE,4,4,2026
1400101-2024-0000063,GF-63,LF-13,"License Fee",11000,0,0,0,11000,LICENSE,1,4,2027
1400101-2024-0000064,GF-64,LF-14,"License Fee",11500,0,0,0,11500,LICENSE,2,4,2027
1400101-2024-0000065,GF-65,LF-15,"License Fee",12000,0,0,0,12000,LICENSE,3,4,2027
1400101-2024-0000066,GF-66,LF-16,"License Fee",12500,0,0,0,12500,LICENSE,4,4,2027
1400101-2024-0000067,GF-67,LF-17,"License Fee",13000,0,0,0,13000,LICENSE,1,4,2028
1400101-2024-0000068,GF-68,LF-18,"License Fee",13500,0,0,0,13500,LICENSE,2,4,2028
1400101-2024-0000069,GF-69,LF-19,"License Fee",14000,0,0,0,14000,LICENSE,3,4,2028
1400101-2024-0000070,GF-70,LF-20,"License Fee",14500,0,0,0,14500,LICENSE,4,4,2028
1400101-2024-0000071,GF-71,LF-21,"License Fee",15000,0,0,0,15000,LICENSE,1,4,2029
1400101-2024-0000072,GF-72,LF-22,"License Fee",15500,0,0,0,15500,LICENSE,2,4,2029
1400101-2024-0000073,GF-73,LF-23,"License Fee",16000,0,0,0,16000,LICENSE,3,4,2029
1400101-2024-0000074,GF-74,LF-24,"License Fee",16500,0,0,0,16500,LICENSE,4,4,2029
1400101-2024-0000075,GF-75,LF-25,"License Fee",17000,0,0,0,17000,LICENSE,1,4,2030
1400101-2024-0000076,GF-76,LF-26,"License Fee",17500,0,0,0,17500,LICENSE,2,4,2030
1400101-2024-0000077,GF-77,LF-27,"License Fee",18000,0,0,0,18000,LICENSE,3,4,2030
1400101-2024-0000078,GF-78,LF-28,"License Fee",18500,0,0,0,18500,LICENSE,4,4,2030
1400101-2024-0000079,GF-79,LF-29,"License Fee",19000,0,0,0,19000,LICENSE,1,4,2031
1400101-2024-0000080,GF-80,LF-30,"License Fee",19500,0,0,0,19500,LICENSE,2,4,2031
1400101-2024-0000081,GF-81,SF-01,"Sanitary Fee",2000,0,0,0,2000,SANITARY,1,4,2024
1400101-2024-0000082,GF-82,SF-02,"Sanitary Fee",2500,0,0,0,2500,SANITARY,2,4,2024
1400101-2024-0000083,GF-83,SF-03,"Sanitary Fee",3000,0,0,0,3000,SANITARY,3,4,2024
1400101-2024-0000084,GF-84,SF-04,"Sanitary Fee",3500,0,0,0,3500,SANITARY,4,4,2024
1400101-2024-0000085,GF-85,SF-05,"Sanitary Fee",4000,0,0,0,4000,SANITARY,1,4,2025
1400101-2024-0000086,GF-86,SF-06,"Sanitary Fee",4500,0,0,0,4500,SANITARY,2,4,2025
1400101-2024-0000087,GF-87,SF-07,"Sanitary Fee",5000,0,0,0,5000,SANITARY,3,4,2025
1400101-2024-0000088,GF-88,SF-08,"Sanitary Fee",5500,0,0,0,5500,SANITARY,4,4,2025
1400101-2024-0000089,GF-89,SF-09,"Sanitary Fee",6000,0,0,0,6000,SANITARY,1,4,2026
1400101-2024-0000090,GF-90,SF-10,"Sanitary Fee",6500,0,0,0,6500,SANITARY,2,4,2026
1400101-2024-0000091,GF-91,SF-11,"Sanitary Fee",7000,0,0,0,7000,SANITARY,3,4,2026
1400101-2024-0000092,GF-92,SF-12,"Sanitary Fee",7500,0,0,0,7500,SANITARY,4,4,2026
1400101-2024-0000093,GF-93,SF-13,"Sanitary Fee",8000,0,0,0,8000,SANITARY,1,4,2027
1400101-2024-0000094,GF-94,SF-14,"Sanitary Fee",8500,0,0,0,8500,SANITARY,2,4,2027
1400101-2024-0000095,GF-95,SF-15,"Sanitary Fee",9000,0,0,0,9000,SANITARY,3,4,2027
1400101-2024-0000096,GF-96,SF-16,"Sanitary Fee",9500,0,0,0,9500,SANITARY,4,4,2027
1400101-2024-0000097,GF-97,SF-17,"Sanitary Fee",10000,0,0,0,10000,SANITARY,1,4,2028
1400101-2024-0000098,GF-98,SF-18,"Sanitary Fee",10500,0,0,0,10500,SANITARY,2,4,2028
1400101-2024-0000099,GF-99,SF-19,"Sanitary Fee",11000,0,0,0,11000,SANITARY,3,4,2028
1400101-2024-0000100,GF-100,SF-20,"Sanitary Fee",11500,0,0,0,11500,SANITARY,4,4,2028
