bin,application_type,application_date,year,qtr_from,qtr_to,amount,discount,surcharge,interest,total,issued_date,valid_until,or_no,or_date,permit_no,barangay_clearance_number,business_plate_number,mode_of_payment
1400101-2024-0000023,R,11/20/2025,2025,3,4,230000,2300,24000,24000,252600,11/20/2025,11/20/2026,W-0023,,WW-0023,MANUAL
1400101-2024-0000024,R,12/15/2025,2025,4,4,240000,2400,25000,25000,263500,12/15/2025,12/15/2026,X-0024,,XX-0024,ONLINE
1400101-2024-0000025,R,01/10/2026,2026,1,4,250000,2500,26000,26000,274400,01/10/2026,01/10/2027,Y-0025,,YY-0025,MANUAL
1400101-2024-0000026,R,02/25/2026,2026,2,4,260000,2600,27000,27000,285300,02/25/2026,02/25/2027,Z-0026,,ZZ-0026,ONLINE
1400101-2024-0000027,R,03/12/2026,2026,3,4,270000,2700,28000,28000,296200,03/12/2026,03/12/2027,AA-0027,03/12/2026,AA-0027,AAA-0027,AA-0027,MANUAL
1400101-2024-0000028,R,04/07/2026,2026,4,4,280000,2800,29000,29000,307100,04/07/2026,04/07/2027,AB-0028,04/07/2026,AB-0028,BBB-0028,AB-0028,ONLINE
1400101-2024-0000029,R,05/22/2026,2026,1,4,290000,2900,30000,30000,318000,05/22/2026,05/22/2027,AC-0029,05/22/2026,AC-0029,CCC-0029,AC-0029,MANUAL
1400101-2024-0000030,R,06/15/2026,2026,2,4,300000,3000,31000,31000,328900,06/15/2026,06/15/2027,AD-0030,06/15/2026,AD-0030,DDD-0030,AD-0030,ONLINE
1400101-2024-0000031,R,07/10/2026,2026,3,4,310000,3100,32000,32000,339800,07/10/2026,07/10/2027,AE-0031,07/10/2026,AE-0031,EEE-0031,AE-0031,MANUAL
1400101-2024-0000032,R,08/25/2026,2026,4,4,320000,3200,33000,33000,350700,08/25/2026,08/25/2027,AF-0032,08/25/2026,AF-0032,FFF-0032,AF-0032,ONLINE
1400101-2024-0000033,R,09/15/2026,2026,1,4,330000,3300,34000,34000,361600,09/15/2026,09/15/2027,AG-0033,09/15/2026,AG-0033,GGG-0033,AG-0033,MANUAL
1400101-2024-0000034,R,10/10/2026,2026,2,4,340000,3400,35000,35000,372500,10/10/2026,10/10/2027,AH-0034,10/10/2026,AH-0034,HHH-0034,AH-0034,ONLINE
1400101-2024-0000035,R,11/25/2026,2026,3,4,350000,3500,36000,36000,383400,11/25/2026,11/25/2027,AI-0035,11/25/2026,AI-0035,III-0035,AI-0035,MANUAL
1400101-2024-0000036,R,12/15/2026,2026,4,4,360000,3600,37000,37000,394300,12/15/2026,12/15/2027,AJ-0036,12/15/2026,AJ-0036,JJJ-0036,AJ-0036,ONLINE
1400101-2024-0000037,R,01/10/2027,2027,1,4,370000,3700,38000,38000,405200,01/10/2027,01/10/2028,AK-0037,01/10/2027,AK-0037,KKK-0037,AK-0037,MANUAL
1400101-2024-0000038,R,02/25/2027,2027,2,4,380000,3800,39000,39000,416100,02/25/2027,02/25/2028,AL-0038,02/25/2027,AL-0038,LLL-0038,AL-0038,ONLINE
1400101-2024-0000039,R,03/12/2027,2027,3,4,390000,3900,40000,40000,427000,03/12/2027,03/12/2028,AM-0039,03/12/2027,AM-0039,MMM-0039,AM-0039,MANUAL
1400101-2024-0000040,R,04/07/2027,2027,4,4,400000,4000,41000,41000,437900,04/07/2027,04/07/2028,AN-0040,04/07/2027,AN-0040,NNN-0040,AN-0040,ONLINE
1400101-2024-0000041,R,05/22/2027,2027,1,4,410000,4100,42000,42000,448800,05/22/2027,05/22/2028,AO-0041,05/22/2027,AO-0041,OOO-0041,AO-0041,MANUAL
1400101-2024-0000042,R,06/15/2027,2027,2,4,420000,4200,43000,43000,459700,06/15/2027,06/15/2028,AP-0042,06/15/2027,AP-0042,PPP-0042,AP-0042,ONLINE
1400101-2024-0000043,R,07/10/2027,2027,3,4,430000,4300,44000,44000,470600,07/10/2027,07/10/2028,AQ-0043,07/10/2027,AQ-0043,QQQ-0043,AQ-0043,MANUAL
1400101-2024-0000044,R,08/25/2027,2027,4,4,440000,4400,45000,45000,481500,08/25/2027,08/25/2028,AR-0044,08/25/2027,AR-0044,RRR-0044,AR-0044,ONLINE
1400101-2024-0000045,R,09/15/2027,2027,1,4,450000,4500,46000,46000,492400,09/15/2027,09/15/2028,AS-0045,09/15/2027,AS-0045,SSS-0045,AS-0045,MANUAL
1400101-2024-0000046,R,10/10/2027,2027,2,4,460000,4600,47000,47000,503300,10/10/2027,10/10/2028,AT-0046,10/10/2027,AT-0046,TTT-0046,AT-0046,ONLINE
1400101-2024-0000047,R,11/25/2027,2027,3,4,470000,4700,48000,48000,514200,11/25/2027,11/25/2028,AU-0047,11/25/2027,AU-0047,UUU-0047,AU-0047,MANUAL
1400101-2024-0000048,R,12/15/2027,2027,4,4,480000,4800,49000,49000,525100,12/15/2027,12/15/2028,AV-0048,12/15/2027,AV-0048,VVV-0048,AV-0048,ONLINE
1400101-2024-0000049,R,01/10/2028,2028,1,4,490000,4900,50000,50000,536000,01/10/2028,01/10/2029,AW-0049,01/10/2028,AW-0049,WWW-0049,AW-0049,MANUAL
1400101-2024-0000050,R,02/25/2028,2028,2,4,500000,5000,51000,51000,546900,02/25/2028,02/25/2029,AX-0050,02/25/2028,AX-0050,XXX-0050,AX-0050,ONLINE
1400101-2024-0000051,R,03/12/2028,2028,3,4,510000,5100,52000,52000,557800,03/12/2028,03/12/2029,AY-0051,03/12/2028,AY-0051,YYY-0051,AY-0051,MANUAL
1400101-2024-0000052,R,04/07/2028,2028,4,4,520000,5200,53000,53000,568700,04/07/2028,04/07/2029,AZ-0052,04/07/2028,AZ-0052,ZZZ-0052,AZ-0052,ONLINE
1400101-2024-0000053,R,05/22/2028,2028,1,4,530000,5300,54000,54000,579600,05/22/2028,05/22/2029,BA-0053,05/22/2028,BA-0053,AAAA-0053,B-0053,MANUAL
1400101-2024-0000054,R,06/15/2028,2028,2,4,540000,5400,55000,55000,590500,06/15/2028,06/15/2029,BB-0054,06/15/2028,BB-0054,BBBB-0054,B-0054,ONLINE
1400101-2024-0000055,R,07/10/2028,2028,3,4,550000,5500,56000,56000,601400,07/10/2028,07/10/2029,BC-0055,07/10/2028,BC-0055,CCCC-0055,C-0055,MANUAL
1400101-2024-0000056,R,08/25/2028,2028,4,4,560000,5600,57000,57000,612300,08/25/2028,08/25/2029,BD-0056,08/25/2028,BD-0056,DDDD-0056,D-0056,ONLINE
1400101-2024-0000057,R,09/15/2028,2028,1,4,570000,5700,58000,58000,623200,09/15/2028,09/15/2029,BE-0057,09/15/2028,BE-0057,EEEE-0057,E-0057,MANUAL
1400101-2024-0000058,R,10/10/2028,2028,2,4,580000,5800,59000,59000,634100,10/10/2028,10/10/2029,BF-0058,10/10/2028,BF-0058,FFFF-0058,F-0058,ONLINE
1400101-2024-0000059,R,11/25/2028,2028,3,4,590000,5900,60000,60000,645000,11/25/2028,11/25/2029,BG-0059,11/25/2028,BG-0059,GGGG-0059,G-0059,MANUAL
1400101-2024-0000060,R,12/15/2028,2028,4,4,600000,6000,61000,61000,655900,12/15/2028,12/15/2029,BH-0060,12/15/2028,BH-0060,HHHH-0060,H-0060,ONLINE
1400101-2024-0000061,R,01/10/2029,2029,1,4,610000,6100,62000,62000,666800,01/10/2029,01/10/2030,BI-0061,01/10/2029,BI-0061,IIII-0061,I-0061,MANUAL
1400101-2024-0000062,R,02/25/2029,2029,2,4,620000,6200,63000,63000,677700,02/25/2029,02/25/2030,BJ-0062,02/25/2029,BJ-0062,JJJJ-0062,J-0062,ONLINE
1400101-2024-0000063,R,03/12/2029,2029,3,4,630000,6300,64000,64000,688600,03/12/2029,03/12/2030,BK-0063,03/12/2029,BK-0063,KKKK-0063,K-0063,MANUAL
1400101-2024-0000064,R,04/07/2029,2029,4,4,640000,6400,65000,65000,699500,04/07/2029,04/07/2030,BL-0064,04/07/2029,BL-0064,LLLL-0064,L-0064,ONLINE
1400101-2024-0000065,R,05/22/2029,2029,1,4,650000,6500,66000,66000,710400,05/22/2029,05/22/2030,BM-0065,05/22/2029,BM-0065,MMMM-0065,M-0065,MANUAL
1400101-2024-0000066,R,06/15/2029,2029,2,4,660000,6600,67000,67000,721300,06/15/2029,06/15/2030,BN-0066,06/15/2029,BN-0066,NNNN-0066,N-0066,ONLINE
1400101-2024-0000067,R,07/10/2029,2029,3,4,670000,6700,68000,68000,732200,07/10/2029,07/10/2030,BO-0067,07/10/2029,BO-0067,OOOO-0067,O-0067,MANUAL
1400101-2024-0000068,R,08/25/2029,2029,4,4,680000,6800,69000,69000,743100,08/25/2029,08/25/2030,BP-0068,08/25/2029,BP-0068,PPP-0068,P-0068,ONLINE
1400101-2024-0000069,R,09/15/2029,2029,1,4,690000,6900,70000,70000,754000,09/15/2029,09/15/2030,BQ-0069,09/15/2029,BQ-0069,QQQ-0069,Q-0069,MANUAL
1400101-2024-0000070,R,10/10/2029,2029,2,4,700000,7000,71000,71000,764900,10/10/2029,10/10/2030,BR-0070,10/10/2029,BR-0070,RRR-0070,R-0070,ONLINE
1400101-2024-0000071,R,11/25/2029,2029,3,4,710000,7100,72000,72000,775800,11/25/2029,11/25/2030,BS-0071,11/25/2029,BS-0071,SSS-0071,S-0071,MANUAL
1400101-2024-0000072,R,12/15/2029,2029,4,4,720000,7200,73000,73000,786700,12/15/2029,12/15/2030,BT-0072,12/15/2029,BT-0072,TTT-0072,T-0072,ONLINE
1400101-2024-0000073,R,01/10/2030,2030,1,4,730000,7300,74000,74000,797600,01/10/2030,01/10/2031,BU-0073,01/10/2030,BU-0073,UUU-0073,U-0073,MANUAL
1400101-2024-0000074,R,02/25/2030,2030,2,4,740000,7400,75000,75000,808500,02/25/2030,02/25/2031,BV-0074,02/25/2030,BV-0074,VVV-0074,V-0074,ONLINE
1400101-2024-0000075,R,03/12/2030,2030,3,4,750000,7500,76000,76000,819400,03/12/2030,03/12/2031,BW-0075,03/12/2030,BW-0075,WWW-0075,W-0075,MANUAL
1400101-2024-0000076,R,04/07/2030,2030,4,4,760000,7600,77000,77000,830300,04/07/2030,04/07/2031,BX-0076,04/07/2030,BX-0076,XXX-0076,X-0076,ONLINE
1400101-2024-0000077,R,05/22/2030,2030,1,4,770000,7700,78000,78000,841200,05/22/2030,05/22/2031,BY-0077,05/22/2030,BY-0077,YYY-0077,Y-0077,MANUAL
1400101-2024-0000078,R,06/15/2030,2030,2,4,780000,7800,79000,79000,852100,06/15/2030,06/15/2031,BZ-0078,06/15/2030,BZ-0078,ZZZ-0078,Z-0078,ONLINE
1400101-2024-0000079,R,07/10/2030,2030,3,4,790000,7900,80000,80000,863000,07/10/2030,07/10/2031,CA-0079,07/10/2030,CA-0079,AAAA-0079,A-0079,MANUAL
1400101-2024-0000080,R,08/25/2030,2030,4,4,800000,8000,81000,81000,873900,08/25/2030,08/25/2031,CB-0080,08/25/2030,CB-0080,BBBB-0080,B-0080,ONLINE
1400101-2024-0000081,R,09/15/2030,2030,1,4,810000,8100,82000,82000,884800,09/15/2030,09/15/2031,CC-0081,09/15/2030,CC-0081,CCCC-0081,C-0081,MANUAL
1400101-2024-0000082,R,10/10/2030,2030,2,4,820000,8200,83000,83000,895700,10/10/2030,10/10/2031,CD-0082,10/10/2030,CD-0082,DDDD-0082,D-0082,ONLINE
1400101-2024-0000083,R,11/25/2030,2030,3,4,830000,8300,84000,84000,906600,11/25/2030,11/25/2031,CE-0083,11/25/2030,CE-0083,EEEE-0083,E-0083,MANUAL
1400101-2024-0000084,R,12/15/2030,2030,4,4,840000,8400,85000,85000,917500,12/15/2030,12/15/2031,CF-0084,12/15/2030,CF-0084,FFFF-0084,F-0084,ONLINE
1400101-2024-0000085,R,01/10/2031,2031,1,4,850000,8500,86000,86000,928400,01/10/2031,01/10/2032,CG-0085,01/10/2031,CG-0085,GGGG-0085,G-0085,MANUAL
1400101-2024-0000086,R,02/25/2031,2031,2,4,860000,8600,87000,87000,939300,02/25/2031,02/25/2032,CH-0086,02/25/2031,CH-0086,HHHH-0086,H-0086,ONLINE
1400101-2024-0000087,R,03/12/2031,2031,3,4,870000,8700,88000,88000,950200,03/12/2031,03/12/2032,CI-0087,03/12/2031,CI-0087,IIII-0087,I-0087,MANUAL
1400101-2024-0000088,R,04/07/2031,2031,4,4,880000,8800,89000,89000,961100,04/07/2031,04/07/2032,CJ-0088,04/07/2031,CJ-0088,JJJJ-0088,J-0088,ONLINE
1400101-2024-0000089,R,05/22/2031,2031,1,4,890000,8900,90000,90000,972000,05/22/2031,05/22/2032,CK-0089,05/22/2031,CK-0089,KKK-0089,K-0089,MANUAL
1400101-2024-0000090,R,06/15/2031,2031,2,4,900000,9000,91000,91000,982900,06/15/2031,06/15/2032,CL-0090,06/15/2031,CL-0090,LLL-0090,L-0090,ONLINE
1400101-2024-0000091,R,07/10/2031,2031,3,4,910000,9100,92000,92000,993800,07/10/2031,07/10/2032,CM-0091,07/10/2031,CM-0091,MMM-0091,M-0091,MANUAL
1400101-2024-0000092,R,08/25/2031,2031,4,4,920000,9200,93000,93000,1004700,08/25/2031,08/25/2032,CN-0092,08/25/2031,CN-0092,NNN-0092,N-0092,ONLINE
1400101-2024-0000093,R,09/15/2031,2031,1,4,930000,9300,94000,94000,1015600,09/15/2031,09/15/2032,CO-0093,09/15/2031,CO-0093,OOO-0093,O-0093,MANUAL
1400101-2024-0000094,R,10/10/2031,2031,2,4,940000,9400,95000,95000,1026500,10/10/2031,10/10/2032,CP-0094,10/10/2031,CP-0094,PPP-0094,P-0094,ONLINE
1400101-2024-0000095,R,11/25/2031,2031,3,4,950000,9500,96000,96000,1037400,11/25/2031,11/25/2032,CQ-0095,11/25/2031,CQ-0095,QQQ-0095,Q-0095,MANUAL
1400101-2024-0000096,R,12/15/2031,2031,4,4,960000,9600,97000,97000,1048300,12/15/2031,12/15/2032,CR-0096,12/15/2031,CR-0096,RRR-0096,R-0096,ONLINE
1400101-2024-0000097,R,01/10/2032,2032,1,4,970000,9700,98000,98000,1059200,01/10/2032,01/10/2033,CS-0097,01/10/2032,CS-0097,SSS-0097,S-0097,MANUAL
1400101-2024-0000098,R,02/25/2032,2032,2,4,980000,9800,99000,99000,1070100,02/25/2032,02/25/2033,CT-0098,02/25/2032,CT-0098,TTT-0098,T-0098,ONLINE
1400101-2024-0000099,R,03/12/2032,2032,3,4,990000,9900,100000,100000,1081000,03/12/2032,03/12/2033,CU-0099,03/12/2032,CU-0099,UUU-0099,U-0099,MANUAL
1400101-2024-0000100,R,04/07/2032,2032,4,4,1000000,10000,101000,101000,1091900,04/07/2032,04/07/2033,CV-0100,04/07/2032,CV-0100,VVV-0100,V-0100,ONLINE
